NearUserPos,FarUserPos,NearUserDist,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,OptimalMA,NormalizedCapacityNear,NormalizedCapacityFar,NormalizedBERNear,NormalizedBERFar,NormalizedOutageNear,NormalizedOutageFar,Score
c3,a4,21.21320344,35.35533906,-84,0,0.003989141,0.003989141,0.4822,0.4577,1,1,OMA,0.000587174,0.000587174,0.886993603,0.915166517,1,1,0.021574778
c3,a4,21.21320344,35.35533906,-82,2,0.006339216,0.006339216,0.4866,0.4519,1,1,OMA,0.000933255,0.000933255,0.875751115,0.925067507,1,1,0.021925047
c3,a4,21.21320344,35.35533906,-80,4,0.010065355,0.010065355,0.4753,0.4438,1,1,OMA,0.001481981,0.001481981,0.860050397,0.899639964,1,1,0.027492084
c3,a4,21.21320344,35.35533906,-78,6,0.015768987,0.015768987,0.4664,0.4317,1,1,OMA,0.00232192,0.00232192,0.83659624,0.879612961,1,1,0.033511153
c3,a4,21.21320344,35.35533906,-76,8,0.024723534,0.024723534,0.4752,0.4101,1,1,OMA,0.003640601,0.003640601,0.79472766,0.899414941,1,1,0.03702452
c3,a4,21.21320344,35.35533906,-74,10,0.038603737,0.038603737,0.4562,0.391,1,1,OMA,0.005684654,0.005684654,0.757704982,0.856660666,1,1,0.048326524
c3,a4,21.21320344,35.35533906,-72,12,0.060881709,0.060881709,0.4499,0.375,1,1,OMA,0.008965395,0.008965395,0.726691219,0.842484248,1,1,0.055819777
c3,a4,21.21320344,35.35533906,-70,14,0.091890134,0.091890134,0.4374,0.3369,1,1,OMA,0.013531816,0.013531816,0.652839698,0.814356436,1,1,0.071271292
c3,a4,21.21320344,35.35533906,-68,16,0.139106027,0.139106027,0.4189,0.3016,1,1,OMA,0.020485012,0.020485012,0.584415584,0.772727273,1,1,0.088987116
c3,a4,21.21320344,35.35533906,-66,18,0.208474562,0.208474562,0.3988,0.2525,1,1,OMA,0.030700492,0.030700492,0.489242101,0.72749775,1,1,0.112279704
c3,a4,21.21320344,35.35533906,-64,20,0.298547068,0.298547068,0.3727,0.2174,1,1,OMA,0.043964919,0.043964919,0.42120566,0.668766877,1,1,0.135387264
c3,a4,21.21320344,35.35533906,-62,22,0.431225093,0.431225093,0.3456,0.1629,1,1,OMA,0.0635036,0.0635036,0.315565032,0.607785779,1,1,0.1668411
c3,a4,21.21320344,35.35533906,-60,24,0.602714427,0.602714427,0.3136,0.1272,1,1,OMA,0.088757786,0.088757786,0.246365575,0.535778578,1,1,0.197966867
c3,a4,21.21320344,35.35533906,-58,26,0.808763892,0.808763892,0.2715,0.0916,1,0.9996,OMA,0.119101431,0.119101431,0.177359953,0.441044104,0.999590038,1,0.234656854
c3,a4,21.21320344,35.35533906,-56,28,1.075745941,1.075745941,0.2354,0.0662,0.9993,0.9914,OMA,0.158418245,0.158418245,0.128125606,0.359810981,0.991185815,0.998423068,0.27291342
c3,a4,21.21320344,35.35533906,-54,30,1.396754451,1.396754451,0.1858,0.0427,0.9903,0.9494,OMA,0.205691206,0.205691206,0.082574142,0.24819982,0.948139797,0.978148232,0.325543951
c3,a5,21.21320344,35.35533906,-114,-30,4.04E-06,4.04E-06,0.4917,0.4941,1,1,OMA,3.13E-07,3.13E-07,0.957549913,0.936543654,1,1,0.009459659
c3,a5,21.21320344,35.35533906,-112,-28,6.32E-06,6.32E-06,0.4959,0.498,1,1,OMA,6.48E-07,6.48E-07,0.965109517,0.945994599,1,1,0.007273972
c3,a5,21.21320344,35.35533906,-110,-26,1.01E-05,1.01E-05,0.4938,0.497,1,1,OMA,1.21E-06,1.21E-06,0.963171157,0.941269127,1,1,0.008130564
c3,a5,21.21320344,35.35533906,-108,-24,1.61E-05,1.61E-05,0.4978,0.5,1,1,OMA,2.09E-06,2.09E-06,0.968986238,0.950270027,1,1,0.006227159
c3,a5,21.21320344,35.35533906,-106,-22,2.53E-05,2.53E-05,0.4892,0.4911,1,1,OMA,3.44E-06,3.44E-06,0.951734832,0.930918092,1,1,0.010931392
c3,a5,21.21320344,35.35533906,-104,-20,4.00E-05,4.00E-05,0.4956,0.4967,1,1,OMA,5.61E-06,5.61E-06,0.962589649,0.945319532,1,1,0.007687074
c3,a5,21.21320344,35.35533906,-102,-18,6.36E-05,6.36E-05,0.5043,0.4974,1,1,OMA,9.09E-06,9.09E-06,0.963946501,0.96489649,1,1,0.004998859
c3,a5,21.21320344,35.35533906,-100,-16,0.000100931,0.000100931,0.4915,0.4955,1,1,OMA,1.46E-05,1.46E-05,0.960263617,0.936093609,1,1,0.009176112
c3,a5,21.21320344,35.35533906,-98,-14,0.000162647,0.000162647,0.4944,0.4912,1,1,OMA,2.37E-05,2.37E-05,0.951928668,0.942619262,1,1,0.009413279
c3,a5,21.21320344,35.35533906,-96,-12,0.000253482,0.000253482,0.4977,0.4914,1,1,OMA,3.70E-05,3.70E-05,0.95231634,0.950045005,1,1,0.008416129
c3,a5,21.21320344,35.35533906,-94,-10,0.0004005,0.0004005,0.4875,0.4823,1,1,OMA,5.87E-05,5.87E-05,0.934677263,0.927092709,1,1,0.013643259
c3,a5,21.21320344,35.35533906,-92,-8,0.000625286,0.000625286,0.4868,0.4901,1,1,OMA,9.18E-05,9.18E-05,0.949796472,0.925517552,1,1,0.01191986
c3,a5,21.21320344,35.35533906,-90,-6,0.00102222,0.00102222,0.4905,0.4743,1,1,OMA,0.000150254,0.000150254,0.919170382,0.933843384,1,1,0.014815494
c3,a5,21.21320344,35.35533906,-88,-4,0.001573414,0.001573414,0.4939,0.4766,1,1,OMA,0.000231425,0.000231425,0.92362861,0.941494149,1,1,0.013301207
c3,a5,21.21320344,35.35533906,-86,-2,0.002518843,0.002518843,0.4968,0.4665,1,1,OMA,0.000370652,0.000370652,0.904051173,0.948019802,1,1,0.015049928
c3,a5,21.21320344,35.35533906,-84,0,0.004054811,0.004054811,0.4951,0.4746,1,1,OMA,0.000596845,0.000596845,0.91975189,0.944194419,1,1,0.013640208
c3,a5,21.21320344,35.35533906,-82,2,0.006323118,0.006323118,0.4808,0.4632,1,1,OMA,0.000930884,0.000930884,0.897654584,0.912016202,1,1,0.020786323
c3,a5,21.21320344,35.35533906,-80,4,0.009775744,0.009775744,0.4694,0.4519,1,1,OMA,0.001439332,0.001439332,0.875751115,0.886363636,1,1,0.027158627
c3,a5,21.21320344,35.35533906,-78,6,0.015485164,0.015485164,0.4854,0.4309,1,1,OMA,0.002280123,0.002280123,0.835045551,0.922367237,1,1,0.028194998
c3,a5,21.21320344,35.35533906,-76,8,0.024836331,0.024836331,0.4727,0.4147,1,1,OMA,0.003657212,0.003657212,0.803644117,0.893789379,1,1,0.036610178
c3,a5,21.21320344,35.35533906,-74,10,0.038711877,0.038711877,0.4633,0.387,1,1,OMA,0.005700579,0.005700579,0.749951541,0.872637264,1,1,0.047278032
c3,a5,21.21320344,35.35533906,-72,12,0.059752134,0.059752134,0.4335,0.3692,1,1,OMA,0.008799049,0.008799049,0.71544873,0.805580558,1,1,0.061921072
c3,a5,21.21320344,35.35533906,-70,14,0.092726602,0.092726602,0.4254,0.3272,1,1,OMA,0.013654997,0.013654997,0.634037604,0.787353735,1,1,0.077220535
