No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
137,c3b1,7.071,15.811,-104,0.00016196,0.003929048,1.59749E-05,0.000396647,0.002966359,1,1,0.493,0.4727
138,c3b4,7.071,15.811,-104,0.000161752,0.004017592,1.59771E-05,0.000395508,0.002983296,1,1,0.4938,0.4677
139,c3c1,7.071,15.811,-104,0.000157643,0.004000931,1.60552E-05,0.0004059,0.003027595,1,1,0.5034,0.4686
140,c3c4,7.071,15.811,-104,0.000159517,0.003967378,1.60065E-05,0.000405204,0.003005754,1,1,0.4953,0.4636
141,c3d1,7.071,21.2132,-104,4.91935E-05,0.004040671,4.9691E-06,0.000396236,0.0029484,1,1,0.4977,0.4567
142,c3d2,7.071,15.811,-104,0.000162046,0.003975684,0.000016043,0.000394561,0.002970222,1,1,0.4989,0.4755
143,c3d3,7.071,15.811,-104,0.000160806,0.004019459,1.60417E-05,0.00039778,0.003003863,1,1,0.4956,0.4722
144,c3d4,7.071,21.2132,-104,4.98505E-05,0.003954579,4.9124E-06,0.0004015,0.002941585,1,1,0.4934,0.4639
145,b2a1,7.071,21.2132,-99,0.000154301,0.012615711,4.8888E-06,0.000403052,0.008969481,1,1,0.4964,0.4334
146,b2a2,7.071,15.811,-99,0.000502278,0.012498494,1.58107E-05,0.000403975,0.009295608,1,1,0.4836,0.4456
147,b2a3,7.071,15.811,-99,0.000508264,0.012647076,1.58743E-05,0.00039551,0.009343878,1,1,0.4919,0.4407
148,b2a4,7.071,21.2132,-99,0.000156324,0.012799263,4.9496E-06,0.000403517,0.009115964,1,1,0.4903,0.4396
149,b2b1,7.071,15.811,-99,0.000512163,0.012424741,1.59749E-05,0.000396647,0.009306023,1,1,0.4887,0.449
150,b2b4,7.071,15.811,-99,0.000511505,0.012704741,1.59771E-05,0.000395508,0.009357559,1,1,0.4885,0.442
151,b2c1,7.071,15.811,-99,0.000498511,0.012652056,1.60552E-05,0.0004059,0.009495135,1,1,0.4993,0.4462
152,b2c4,7.071,15.811,-99,0.000504436,0.012545952,1.60065E-05,0.000405204,0.009426116,1,1,0.4901,0.4392
153,b2d1,7.071,21.2132,-99,0.000155563,0.012777724,4.9691E-06,0.000396236,0.009244385,1,1,0.4951,0.4336
154,b2d2,7.071,15.811,-99,0.000512435,0.012572215,0.000016043,0.000394561,0.009316278,1,1,0.4938,0.4509
155,b2d3,7.071,15.811,-99,0.000508514,0.012710646,1.60417E-05,0.00039778,0.009422472,1,1,0.4918,0.4446
156,b2d4,7.071,21.2132,-99,0.000157641,0.012505478,4.9124E-06,0.0004015,0.009221988,1,1,0.4902,0.4406
157,b3a1,7.071,21.2132,-99,0.000154301,0.012615711,4.8888E-06,0.000403052,0.008969481,1,1,0.4964,0.4334
158,b3a2,7.071,15.811,-99,0.000502278,0.012498494,1.58107E-05,0.000403975,0.009295608,1,1,0.4836,0.4456
159,b3a3,7.071,15.811,-99,0.000508264,0.012647076,1.58743E-05,0.00039551,0.009343878,1,1,0.4919,0.4407
160,b3a4,7.071,21.2132,-99,0.000156324,0.012799263,4.9496E-06,0.000403517,0.009115964,1,1,0.4903,0.4396
161,b3b1,7.071,15.811,-99,0.000512163,0.012424741,1.59749E-05,0.000396647,0.009306023,1,1,0.4887,0.449
