No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu,MaScheme,
1201,"b2,a1",7.071,21.2132,-54,1.3241959920,99.7359558667,0.0000048888,0.0004030517,7.0067500212,0.3323000000,0.0307000000,0.1046000000,0.0052000000,NOMA,
1202,"b2,a2",7.071,15.8110,-54,1.9880252481,98.8092691386,0.0000158107,0.0004039752,7.3913635565,0.1175000000,0.0297000000,0.0488000000,0.0044000000,NOMA,
1203,"b2,a3",7.071,15.8110,-54,1.9900921130,99.9839153476,0.0000158743,0.0003955102,7.4251364212,0.1113000000,0.0289000000,0.0499000000,0.0037000000,NOMA,
1204,"b2,a4",7.071,21.2132,-54,1.3286453783,101.1870609697,0.0000049496,0.0004035167,7.0339509315,0.3408000000,0.0299000000,0.1027000000,0.0039000000,NOMA,
1205,"b2,b1",7.071,15.8110,-54,2.0023508370,98.2261980814,0.0000159749,0.0003966465,7.4173681752,0.1185000000,0.0310000000,0.0490000000,0.0051000000,NOMA,
1206,"b2,b4",7.071,15.8110,-54,2.0021926845,100.4397990097,0.0000159771,0.0003955077,7.4077841751,0.1217000000,0.0283000000,0.0453000000,0.0039000000,NOMA,
1207,"b2,c1",7.071,15.8110,-54,1.9886305812,100.0232824489,0.0000160552,0.0004058999,7.4353472991,0.1202000000,0.0311000000,0.0504000000,0.0044000000,NOMA,
1208,"b2,c4",7.071,15.8110,-54,1.9874672685,99.1844550472,0.0000160065,0.0004052044,7.4176098805,0.1166000000,0.0318000000,0.0494000000,0.0039000000,NOMA,
1209,"b2,d1",7.071,21.2132,-54,1.3271253454,101.0167780554,0.0000049691,0.0003962361,7.0408950240,0.3314000000,0.0291000000,0.1022000000,0.0056000000,NOMA,
1210,"b2,d2",7.071,15.8110,-54,2.0087928538,99.3920872161,0.0000160430,0.0003945610,7.4122656391,0.1162000000,0.0308000000,0.0449000000,0.0034000000,NOMA,
1211,"b2,d3",7.071,15.8110,-54,2.0007824438,100.4864765128,0.0000160417,0.0003977799,7.4224029251,0.1153000000,0.0286000000,0.0469000000,0.0037000000,NOMA,
1212,"b2,d4",7.071,21.2132,-54,1.3432371019,98.8644856599,0.0000049124,0.0004015003,7.0278498189,0.3348000000,0.0298000000,0.1089000000,0.0051000000,NOMA,
1213,"b3,a1",7.071,21.2132,-54,1.3241959920,99.7359558667,0.0000048888,0.0004030517,7.0067500212,0.3323000000,0.0307000000,0.1046000000,0.0052000000,NOMA,
1214,"b3,a2",7.071,15.8110,-54,1.9880252481,98.8092691386,0.0000158107,0.0004039752,7.3913635565,0.1175000000,0.0297000000,0.0488000000,0.0044000000,NOMA,
1215,"b3,a3",7.071,15.8110,-54,1.9900921130,99.9839153476,0.0000158743,0.0003955102,7.4251364212,0.1113000000,0.0289000000,0.0499000000,0.0037000000,NOMA,
1216,"b3,a4",7.071,21.2132,-54,1.3286453783,101.1870609697,0.0000049496,0.0004035167,7.0339509315,0.3408000000,0.0299000000,0.1027000000,0.0039000000,NOMA,
1217,"b3,b1",7.071,15.8110,-54,2.0023508370,98.2261980814,0.0000159749,0.0003966465,7.4173681752,0.1185000000,0.0310000000,0.0490000000,0.0051000000,NOMA,
1218,"b3,b4",7.071,15.8110,-54,2.0021926845,100.4397990097,0.0000159771,0.0003955077,7.4077841751,0.1217000000,0.0283000000,0.0453000000,0.0039000000,NOMA,
1219,"b3,c1",7.071,15.8110,-54,1.9886305812,100.0232824489,0.0000160552,0.0004058999,7.4353472991,0.1202000000,0.0311000000,0.0504000000,0.0044000000,NOMA,
1220,"b3,c4",7.071,15.8110,-54,1.9874672685,99.1844550472,0.0000160065,0.0004052044,7.4176098805,0.1166000000,0.0318000000,0.0494000000,0.0039000000,NOMA,
1221,"b3,d1",7.071,21.2132,-54,1.3271253454,101.0167780554,0.0000049691,0.0003962361,7.0408950240,0.3314000000,0.0291000000,0.1022000000,0.0056000000,NOMA,
1222,"b3,d2",7.071,15.8110,-54,2.0087928538,99.3920872161,0.0000160430,0.0003945610,7.4122656391,0.1162000000,0.0308000000,0.0449000000,0.0034000000,NOMA,
1223,"b3,d3",7.071,15.8110,-54,2.0007824438,100.4864765128,0.0000160417,0.0003977799,7.4224029251,0.1153000000,0.0286000000,0.0469000000,0.0037000000,NOMA,
1224,"b3,d4",7.071,21.2132,-54,1.3432371019,98.8644856599,0.0000049124,0.0004015003,7.0278498189,0.3348000000,0.0298000000,0.1089000000,0.0051000000,NOMA,
1225,"c2,a1",7.071,21.2132,-54,1.3241959920,99.7359558667,0.0000048888,0.0004030517,7.0067500212,0.3323000000,0.0307000000,0.1046000000,0.0052000000,NOMA,
1226,"c2,a2",7.071,15.8110,-54,1.9880252481,98.8092691386,0.0000158107,0.0004039752,7.3913635565,0.1175000000,0.0297000000,0.0488000000,0.0044000000,NOMA,
1227,"c2,a3",7.071,15.8110,-54,1.9900921130,99.9839153476,0.0000158743,0.0003955102,7.4251364212,0.1113000000,0.0289000000,0.0499000000,0.0037000000,NOMA,
1228,"c2,a4",7.071,21.2132,-54,1.3286453783,101.1870609697,0.0000049496,0.0004035167,7.0339509315,0.3408000000,0.0299000000,0.1027000000,0.0039000000,NOMA,
1229,"c2,b1",7.071,15.8110,-54,2.0023508370,98.2261980814,0.0000159749,0.0003966465,7.4173681752,0.1185000000,0.0310000000,0.0490000000,0.0051000000,NOMA,
